"","V1","V2","V3","V4"
"result.1",0.00199598583460158,2.55735351448233,2.50696485744564,2.52703132447465
"result.2",0.000490845136867827,2.53993188799832,2.4813393561036,2.51077578180825
"result.3",0.00327263488463166,2.57885603567829,2.49062420869674,2.56459250030875
"result.4",0.00384117748562159,2.58684011999435,2.50433356375433,2.60096085664801
"result.5",0.00302188039639572,2.64244655015713,2.50908439468314,2.68036529964422
"result.6",-0.00138200515100483,2.53146691020186,2.47399085445358,2.56840772187589
"result.7",0.00752271657648086,2.54671553680478,2.47121826043487,2.48288387833917
"result.8",-0.00161745002819386,2.48619877786737,2.48517401882244,2.46819025837112
"result.9",0.00249255209976852,2.6974554624931,2.61967718019737,2.81250377490435
"result.10",-0.00441400467271929,2.60502682107707,2.53970760787266,2.61081236639277
"result.11",-0.000435381304383654,2.56488643782411,2.48143875372512,2.53118474037106
"result.12",-0.00513083008937359,2.59557957676277,2.51870679383705,2.59069789775352
"result.13",-0.00162461626942633,2.59519425546596,2.49138629856713,2.55332059584764
"result.14",0.00283690708210896,2.60077245120558,2.54933451503814,2.58171563851021
"result.15",-0.00507684904198758,2.5332467416741,2.4995397472017,2.47478595912403
"result.16",0.00708538952684269,2.55791370046885,2.47068602295453,2.46928242610236
"result.17",0.00543006658515564,2.56433898545618,2.49529296639234,2.5586258352134
"result.18",0.0015353649967002,2.47845564044321,2.45120782878983,2.40241851272615
"result.19",-0.00896800934982063,2.50201381856464,2.48282235534594,2.54338104457101
"result.20",0.000977946956288714,2.55636620465111,2.49229281722272,2.50581669061862
"result.21",0.00125804201456688,2.47526930874184,2.46448335548829,2.40139598066262
"result.22",0.00258474664835172,2.56104111291961,2.52785675800075,2.53784583240714
"result.23",-0.00203647774435919,2.54322923991729,2.45588971747475,2.44156809635165
"result.24",0.00102974556842777,2.57373161718041,2.5296435276138,2.57431549975892
"result.25",0.00163130082441823,2.52734258995421,2.46674983410093,2.46909586777
"result.26",0.000364765604896534,2.57095349013899,2.47799970983115,2.53814190632542
"result.27",0.00814072765406059,2.55613713285019,2.48999850482343,2.57278539771221
"result.28",0.00245053746744925,2.51490171417106,2.49376642822701,2.51735819969729
"result.29",0.00101634706198278,2.54071391881064,2.52082697069148,2.55856912689314
"result.30",0.00721401839082045,2.63317250707487,2.53277397040307,2.65568402508646
"result.31",-0.00867617139114315,2.53059526148172,2.49150104666633,2.54806455027392
"result.32",0.000248484006893842,2.71103860565151,2.6096139068266,2.76569952129177
"result.33",-0.00303006761985057,2.53099537243976,2.46370829382794,2.44061463975836
"result.34",0.00301782520951444,2.48852066061282,2.45767473593574,2.43299652094913
"result.35",-0.00524207522940553,2.53628657788594,2.50542154857309,2.53586134678731
"result.36",0.00411533533874995,2.60791194296691,2.54206195040911,2.67090140971758
"result.37",-0.0101536285660259,2.60808784175577,2.57125252424001,2.65296332143066
"result.38",-0.00265743307233315,2.53738680968239,2.50307940615886,2.64114192945868
"result.39",0.00079763103800415,2.63081155341566,2.54477403291437,2.64333693169461
"result.40",0.00779413299985236,2.60079554582818,2.50774064347266,2.59270115203814
"result.41",0.00949561938665512,2.60264276976549,2.5805427205335,2.63149641889381
"result.42",0.00228130962760366,2.56022613160596,2.50850780256049,2.57614612877981
"result.43",-0.000570121737753047,2.56704719145573,2.48041863315978,2.57874202268966
