"","V1","V2","V3","V4","V5"
"result.1",0.00164908650995172,1.4062609862738,1.40515820288558,1.38824847472291,2.18890532900588
"result.2",0.000403437633898349,1.38331168639769,1.37938604987931,1.38078892955104,2.29002494332981
"result.3",0.00269850881201156,1.38024780652618,1.37289686070266,1.36143182148739,2.43343613297828
"result.4",0.00316868376922656,1.3978875753599,1.38936176879301,1.41722987646209,2.35172218641436
"result.5",0.00249227541458266,1.3956340020461,1.37869448467805,1.43687188452554,2.51291321205045
"result.6",-0.00114066093279682,1.37740922710286,1.37514700926136,1.43224604722732,2.50358060080762
"result.7",0.00620316348281545,1.37051940943524,1.36846376539961,1.3208936661182,2.17075377766808
"result.8",-0.00133452518909166,1.37306967400511,1.38398643723147,1.38091836692709,2.34826747318197
"result.9",0.00205299208976355,1.4462376324641,1.43984928086558,1.49012314760184,2.28759933195578
"result.10",-0.00364117185338899,1.39822185701492,1.39381216432729,1.38321118388178,2.39921015335185
"result.11",-0.0003587040780967,1.38204378792478,1.37680583912446,1.35226036365205,2.32304264641293
"result.12",-0.00422978082576252,1.40298598053735,1.39855990138887,1.41386819306042,2.41229124573328
"result.13",-0.00134060924722407,1.38673745770203,1.37905727124081,1.35680931609376,2.18320516052761
"result.14",0.00233880349077663,1.40422596268789,1.40700124761463,1.3694638467666,2.17698000041902
"result.15",-0.00418499689049842,1.38663591484046,1.38935171794313,1.34566674323214,2.19758866638049
"result.16",0.00584285053498382,1.37262730238455,1.36616154118164,1.31384507021589,2.02705511689671
"result.17",0.0044780951208592,1.38393214637827,1.37670839987549,1.38852808776575,2.54043376452434
"result.18",0.00126623946596667,1.36367203984311,1.36768655444081,1.31509949995415,2.33798509784521
"result.19",-0.00739495538789052,1.37185120481386,1.37539732440527,1.43080690450502,2.44047691869026
"result.20",0.000807622653063168,1.39047724702115,1.38972288247639,1.37689421632987,2.43888771063076
"result.21",0.00103786967348578,1.34816643994423,1.35643147138425,1.29411971454269,2.09768774224036
"result.22",0.00212992898216342,1.38598794453909,1.38917451746584,1.33069302980588,2.0481067266288
"result.23",-0.00167913800945438,1.37180448376023,1.36226173862935,1.31726752691728,2.13334449426723
"result.24",0.000849407812220121,1.39863029213302,1.3975479154099,1.40139795173067,2.31985103681405
"result.25",0.0013448737574948,1.36224813198795,1.35787423921533,1.31374752439282,1.96724715868576
"result.26",0.00030271001246529,1.3874714913704,1.37389838951103,1.35955250423677,2.22895651339757
"result.27",0.00671258554988889,1.37705796449634,1.37692817964867,1.39089978115029,2.43620971326191
"result.28",0.0020195522971068,1.36249259583107,1.3695117945455,1.352940974595,2.24110383657918
"result.29",0.000838026559913949,1.37859632960487,1.3841799011968,1.3725825513221,2.33968813476697
