"","V1","V2","V3","V4","V5","V6"
"result.1",0.30016704930847,2.17583709755086,2.14452203235925,2.14172948920985,28.0110486539688,33.2004428729961
"result.2",0.321973610654673,2.1479504234485,2.10640745274986,2.16677917209347,28.2501898484199,32.6233863248503
"result.3",0.282125760585227,2.14867889445071,2.12485425871088,2.18400601582383,27.82404310604,33.1009869065692
"result.4",0.306976627197315,2.16772984511748,2.15548535339772,2.1854902308961,28.5347776827493,34.0246950157486
"result.5",0.289415986445954,2.16130442096444,2.10769568604148,2.15759485981183,27.8071807699952,34.0186574826476
"result.6",0.333353048588167,2.11694473738613,2.10488588300579,2.13416060657251,27.7703879503652,35.7877448226771
"result.7",0.298642221949318,2.1361636881585,2.10822048052383,2.12939710829244,27.0094069232826,32.087115814198
"result.8",0.334468706789673,2.14472752357475,2.11078205987842,2.09356181732871,25.5430744468237,33.3048416416279
"result.9",0.285409255794539,2.17547042296847,2.13322102975572,2.15454309783038,24.9460987972143,28.3239793349749
"result.10",0.291800077805842,2.1537692040046,2.12301723574059,2.14186795808607,27.8928290169882,32.1049444281214
"result.11",0.311695397297669,2.16789977518017,2.13046441170646,2.11263700904619,25.9598628156518,31.3088216952431
"result.12",0.297953230640565,2.15429623540135,2.12661071444899,2.16521854354269,28.6256821558493,31.0092482191828
"result.13",0.326833391588147,2.18595088466482,2.14969136205227,2.17662475012351,27.8050578351054,33.2994948877467
"result.14",0.276837995025945,2.17299538367428,2.1269428445647,2.13703042145159,29.1473788845251,30.1211535434998
"result.15",0.280663197237461,2.10525274460231,2.10281905819417,2.07869934788487,24.3353008243039,27.1120065429277
"result.16",0.308379506808147,2.17183836087001,2.14832944108205,2.16666926977373,26.6047169109873,31.1356664957812
"result.17",0.322592579730795,2.15433322217679,2.12215755347296,2.15848724437879,26.0787498598149,31.9969905793437
"result.18",0.29438287851021,2.12657280473777,2.11879222847576,2.05440951093874,25.2844875347593,31.0490563136852
"result.19",0.30111269629673,2.14898250533805,2.12623800796727,2.1538891132462,29.0434747406809,31.4201401641851
"result.20",0.340344590393048,2.13483021141349,2.11057824050018,2.13957282562859,26.8228863479687,32.8390332912417
"result.21",0.291779632901364,2.10747314472393,2.10510012226353,2.12009710389468,25.4139554272012,29.8211170279992
"result.22",0.319655342369476,2.14692195778024,2.12225288326547,2.11099533780327,25.3109057402558,30.9153528819658
"result.23",0.320952433454742,2.12366430647811,2.09228298613107,2.02456322561032,23.5809055008112,28.7044408467887
"result.24",0.29048483600952,2.16268235149755,2.15072387812933,2.21675650418104,28.5512763081632,34.1570698003866
"result.25",0.329076971103101,2.14602287140768,2.12481033417445,2.15851121153654,27.2754610332734,35.3792610938453
"result.26",0.329573887506131,2.15450358325509,2.13555938140425,2.11523523465823,27.3981251760632,33.4875644896653
"result.27",0.325677828266846,2.14848108785435,2.12899932927168,2.13310127538656,27.4687773926938,31.5717167991552
"result.28",0.307087493543587,2.13000807341135,2.14797864620713,2.18473167742764,27.104636840185,30.4380104589848
"result.29",0.305685718606006,2.16503560317606,2.16816737326473,2.20027318340502,29.1714879607281,33.7844637613927
"result.30",0.335799496366531,2.17821728799618,2.15869168976512,2.21361635320771,28.4603677692485,37.0453558386518
"result.31",0.315752678794177,2.16274557165172,2.11804847374777,2.16610213233704,29.0574402502754,35.2774636157472
"result.32",0.290572536835024,2.22852912126092,2.19285613588564,2.28350096746937,31.6092462098111,34.5127896127113
"result.33",0.2926560930393,2.13073603064022,2.10846950185529,2.05352486748323,25.5739432535021,32.1500357152538
"result.34",0.338418981464723,2.13630670805344,2.11119707309459,2.09052479679715,25.1973302497227,31.2906212658379
"result.35",0.338054866676038,2.15705585916826,2.12341365997997,2.08156638031871,28.1280616900333,33.5468858355135
"result.36",0.318850961284867,2.20970765786667,2.16777326932187,2.2393278920328,27.2001926771342,31.0183488919
"result.37",0.270043928663716,2.14587699260672,2.15059825059218,2.20325038667743,28.063140687878,28.8543913651064
"result.38",0.319861618475636,2.13483413398441,2.14455559452884,2.15109447878401,26.5564454445437,31.4179544302983
"result.39",0.318165690649081,2.14353740067088,2.09876382772199,2.10474678766306,27.6501984687535,34.8670402345792
"result.40",0.308986037717919,2.13712372269316,2.10865213324291,2.16825711767703,26.5559325021234,34.4909036172715
"result.41",0.297891142135103,2.14728699089834,2.11780364850161,2.13790177735489,24.3400121772362,27.957410131529
"result.42",0.296635867455077,2.13423313147466,2.11565641648321,2.19870240681265,27.872573494534,31.553309317547
"result.43",0.292015263947728,2.16845852683377,2.12974965467639,2.21822940305436,29.2120659048688,32.6943000372637
"result.44",0.28817955630335,2.10069322758729,2.08461506693721,2.09642295943535,26.7755465792977,29.8461791352629
"result.45",0.300474038998978,2.12653160092234,2.10696933353646,2.14451128571031,29.2655078944222,33.480307997964
"result.46",0.267785496506144,2.18246213364219,2.18254845757368,2.31145407275338,30.9326218807329,31.3338253533149
"result.47",0.306611703443289,2.17693880161802,2.15242497713627,2.18265718994853,26.9758088053643,30.3886096958761
"result.48",0.303170690811043,2.16489319526257,2.1491607073166,2.13746479376391,26.1884350383657,30.1499124579769
"result.49",0.293088297417847,2.12188970286006,2.09048121743518,2.09058829372519,26.6868354439839,29.8572977767436
"result.50",0.307045314947267,2.14146112312871,2.12816780920047,2.12651272428979,24.513950119836,33.0216296608791
"result.51",0.307141683682285,2.1889614103435,2.16015600730449,2.20185072555899,28.2917320633075,33.852245131813
"result.52",0.318062304336602,2.14392811111524,2.12487481877382,2.15209693339372,27.7375052798405,32.6496718939153
"result.53",0.29456919288036,2.16332649842465,2.16926583660388,2.19224415166819,27.6769716508397,30.4112016813942
"result.54",0.296381048710364,2.10358052612655,2.09096244301705,2.08519122225635,25.2459372465461,31.0241423002123
"result.55",0.288367527664207,2.14536305226872,2.13152931818791,2.13110148702613,26.4127869660606,28.6024534074103
"result.56",0.318162091782665,2.13447768137389,2.1268056918105,2.15742301317766,26.0650210986921,31.8580751084053
"result.57",0.33417664954572,2.13411280926383,2.11000254028427,2.04644151387486,24.5260037075222,30.8375290234711
"result.58",0.298998126892624,2.12906863187825,2.1063461733845,2.12667176392075,25.9771385176755,30.189969756
"result.59",0.296198349266733,2.13969419803474,2.10479808889557,2.10751067755899,28.1148961204586,32.8743701005975
"result.60",0.30389118025415,2.16717524745997,2.13211263870246,2.08267213208896,25.1304315981349,27.4521425796789
"result.61",0.292637448820831,2.12792352273956,2.11253907232206,2.12100746546633,27.7257630548455,33.8727370410627
"result.62",0.292033524321852,2.14247352494643,2.14027811984282,2.19467659121969,28.6088968092756,34.8538629897408
"result.63",0.329111738518449,2.16280751547593,2.1460834344551,2.16965675581785,27.5382966578687,31.1555374643958
"result.64",0.292637453607969,2.16020018036924,2.13932104901353,2.17990424876104,28.8209063867526,34.3306102682754
"result.65",0.321456493143581,2.14660732183774,2.10799055961241,2.11083119858996,27.2221633528146,34.4207650525634
"result.66",0.31569575323392,2.13731396609491,2.09378027907441,2.06678773888643,27.1865758599743,31.6879322882416
"result.67",0.328851905972784,2.17012454178096,2.12349886408512,2.16878811055301,28.6380632949919,34.0166716942478
"result.68",0.295259583033363,2.13543708400868,2.09917873966407,2.15760887778212,27.9582363110481,31.1336584063602
"result.69",0.30865500756058,2.13080829297908,2.10081399873987,2.12441952015742,27.0369027790393,30.4487250015171
"result.70",0.274877758623462,2.16692443125964,2.12642752989961,2.20055328568965,30.0747385321881,31.5757590935973
"result.71",0.318567514425059,2.18593583544999,2.16487994649231,2.26263179585541,30.9724053354401,34.8356258614841
"result.72",0.319612769569827,2.18296857978098,2.16949719504518,2.22431814176157,26.2247484470563,31.2797067287209
"result.73",0.294057227777883,2.107591796942,2.10665168325938,2.09789201235061,24.3510941860704,29.3961698041177
"result.74",0.331184913245026,2.18389402752951,2.16281917998349,2.26700031371487,30.4551690038223,36.7886888435037
"result.75",0.334687220767468,2.16772736530811,2.13988656486001,2.19241072867294,31.0814058515894,36.023307163745
"result.76",0.335540247484571,2.14041765842173,2.0932830897481,2.06207618206791,25.2963900120044,31.2973858501948
"result.77",0.309908904245539,2.16069644058894,2.13935853707422,2.13498756465254,26.5507442548832,32.7139113527451
"result.78",0.30309971209676,2.13187726447123,2.1222179632486,2.13928947272912,25.953209471153,31.3802545845322
"result.79",0.308897471979971,2.15249991777711,2.13339266883843,2.15067465846064,27.9862269940694,32.5090710381405
"result.80",0.297182106310271,2.15309305689185,2.10691204536995,2.02815070872879,25.8812193264032,32.7272267177171
