"","V1","V2","V3","V4","V5"
"result.1",0.0198133250417156,1.41471579088524,1.40635785547619,1.4341191737085,2.5327732472726
"result.2",0.00611851352583846,1.39368824783142,1.38212094499487,1.43918212726691,2.79105925188973
"result.3",-0.000294712579534254,1.38101290581375,1.37897905816149,1.41751629141496,2.57482342604264
"result.4",0.00102532894499619,1.39474020536985,1.39430088960906,1.41588389100334,2.42668832268137
"result.5",-0.000365602402440631,1.38346410852963,1.37582014754967,1.36415515437917,2.42032362710246
"result.6",0.0516564236963913,1.38480126125866,1.379559828006,1.36235365531595,2.37901867373072
"result.7",-0.0169568538776157,1.37081447167468,1.36699997403599,1.40109025171684,2.45417635377059
"result.8",0.00705695148019122,1.37898196949671,1.37844428597608,1.35887432835048,2.41377556093038
"result.9",0.104741421422278,1.44737353088114,1.44247683853783,1.41059764719781,2.65705819968138
"result.10",0.0330639185994869,1.40197555521206,1.39045891126444,1.35419508575527,2.3807521861591
"result.11",-0.0145457782314442,1.37542399896634,1.37476360873251,1.37464190738477,2.38139615678435
"result.12",0.0275546157292211,1.39850122731049,1.40139928453268,1.39379044813295,2.4671079737956
"result.13",-0.0250224385591227,1.37920355059752,1.37320292957084,1.41222980662232,2.21350163908237
"result.14",0.0344602257582681,1.42288558739297,1.40550086748722,1.40199665340085,2.58635370162257
"result.15",0.0341081697250522,1.38161989236983,1.38245508994966,1.33546739618749,2.26251112920873
"result.16",-0.020094408323063,1.37697474971482,1.36461531784318,1.36793128621621,2.37999599718395
"result.17",-0.00328380455070122,1.37912491962962,1.37314482884379,1.36316334235405,2.01130592191082
"result.18",-0.00520913569335633,1.37467350415674,1.37241253149576,1.3337517985575,2.05999762394113
"result.19",-0.0357228765977426,1.37506774419871,1.36984405308677,1.41518948883388,2.55458385053402
"result.20",0.0419623128936052,1.38124291339609,1.38793865124869,1.37486248255545,2.37204730439917
"result.21",-0.0203306507983877,1.36753410342661,1.36229312260991,1.40860950525277,2.5790801659346
"result.22",0.0180373344466332,1.39918420898526,1.39071589375003,1.3409340558094,2.16059093128224
"result.23",0.0145269908954289,1.3722016421878,1.36615199010419,1.30033039970916,2.14220760985889
"result.24",-0.00902579896520289,1.39273908546428,1.39319265843427,1.47387698663643,2.84356735642104
"result.25",-0.0353715864115941,1.36441434115033,1.36232367191287,1.4233691536556,2.30832374440647
"result.26",-0.00810345480346486,1.36773370917952,1.38106862598912,1.33733804480168,2.25718818165982
"result.27",0.0252737390197275,1.38466649204811,1.37981372934641,1.32783206498299,2.34111422264954
"result.28",-0.0275274230735526,1.36073059181645,1.37256589086262,1.38402076345864,2.33490910763382
"result.29",-0.0173453620419373,1.38512835401318,1.39191512696742,1.43214242519206,2.58113687124603
"result.30",0.032123343875098,1.4123435614384,1.40084773482809,1.38350652494941,2.19080635735696
"result.31",-0.0326346023618103,1.38880215839054,1.38541087945823,1.46448657498305,2.51558186365823
"result.32",0.0268357399186657,1.44981980030571,1.42918024691457,1.49955671841542,2.68655520148232
"result.33",-0.007853135480831,1.3719701145721,1.37201685290361,1.33750479918439,2.07288135634302
"result.34",0.0350715146204111,1.38505806244315,1.37714787536989,1.36986780340883,2.29452154564497
"result.35",0.0493074139204529,1.40110319646595,1.38696393088648,1.35233535793795,2.46723400332801
"result.36",0.00757038916420575,1.4093536516234,1.40772255143109,1.47076517567633,2.48295053295673
"result.37",0.0238931034449748,1.4098347302813,1.41397460098659,1.4411334853955,2.57543630081897
"result.38",0.0459532983091005,1.39327639815387,1.39456271529546,1.32276367443082,2.35850399222085
"result.39",0.086092898652456,1.42942627207794,1.42390164724335,1.39650283651665,2.72170701658788
"result.40",0.0359453072317764,1.39232351898667,1.38519059180407,1.42974612894966,2.64788668233529
"result.41",0.0568848664583989,1.42157125308911,1.41281103035129,1.43230442478908,2.62506875751943
"result.42",0.0124835814264322,1.38511870516447,1.38336684491031,1.45124078145316,2.5492948802898
"result.43",-0.0290284761805069,1.38215284686167,1.3711341228004,1.41438314641943,2.48817341549995
"result.44",0.00372897298199117,1.36352579195187,1.36280497770769,1.37143563732681,2.53663865395985
"result.45",-0.043983166119966,1.34714961306628,1.34267754756052,1.38379686649671,2.51463169293991
"result.46",0.0304767483025874,1.4187378701236,1.42309614260975,1.49266297306191,2.68524473257041
"result.47",-0.0151166905801571,1.38583292112846,1.38318904968917,1.42604476029384,2.3941588142278
"result.48",0.0245726257760899,1.4000687025355,1.39485376520798,1.38759840766271,2.42516499244507
"result.49",-0.0413491660267382,1.3499665591041,1.34235122591508,1.42047122557031,2.55833127937452
"result.50",0.00053408642464708,1.38830946954509,1.39123953286711,1.38953882688407,2.24411255714451
"result.51",0.0340415338862829,1.41440436354826,1.40912027119337,1.39374228321538,2.46751190517674
"result.52",0.0161514201374679,1.37635036724358,1.3911694063156,1.37206365830588,2.27822360173819
"result.53",-0.0220197779740017,1.39691215064618,1.39502986867479,1.40394717716551,2.2766548463448
"result.54",0.0345326620460621,1.38522114127163,1.37645461604756,1.3089463076512,2.05781551193553
"result.55",-0.00845639440577357,1.37937546276428,1.38852349758798,1.40560713200493,2.45526584591886
"result.56",-0.0178345601908468,1.3663811438298,1.37259952555599,1.39873968642044,2.30440751533148
"result.57",-0.0257652918232344,1.35218338938344,1.34398758996094,1.29010716415195,1.98189675031143
"result.58",0.0247781998362238,1.38010451209691,1.38479463588958,1.35922318586935,2.36443872606522
"result.59",-0.0169381088996669,1.37955482186184,1.3766790922504,1.34825704227138,2.14525265136153
"result.60",0.00708264488311859,1.38979087961707,1.38921277870024,1.36469505781494,2.25520871671082
"result.61",0.00496630947058242,1.37026492205504,1.37791495596968,1.40464440319355,2.55246354922245
"result.62",-0.00885768612652164,1.37747076727146,1.37381185566301,1.35781488059658,2.46320966876323
"result.63",-0.0285612892003898,1.36932723998612,1.3649871884538,1.41125070749759,2.35156819178699
"result.64",0.0292196890062511,1.40729573454474,1.40633043023401,1.40985935985583,2.46451836464052
