"","V1","V2","V3","V4","V5","V6"
"result.1",0.331875396437628,1.55706151523663,1.55471314486089,1.54317073951774,15.6530482179433,25.6385627661531
"result.2",0.354757096191245,1.5394961653237,1.53198867312661,1.57807580652901,15.622934302604,24.051942439827
"result.3",0.310428782512886,1.52628259148977,1.52568920726994,1.5449320183612,15.4298546692859,25.1296230286582
"result.4",0.328695012321546,1.55370443057612,1.55831439602544,1.57301954828031,15.9293446899719,26.2321006365704
"result.5",0.322081216105324,1.54421344035512,1.53037107715129,1.54115807735996,15.4885673264099,25.1796520325291
"result.6",0.364169559649828,1.52748712534109,1.53148810397468,1.56199684868896,16.3479766709409,29.2546760571005
"result.7",0.313376283527315,1.5223055795511,1.52380508863567,1.52705727862293,14.8938294294063,23.4009990942239
"result.8",0.356115708723584,1.54086436238879,1.53690717045992,1.52655140075861,15.1334926222711,26.3336559496717
"result.9",0.328077275253236,1.55541689545166,1.53946851647256,1.52660071051931,13.7489388986598,22.4446694071679
"result.10",0.307687019291958,1.52526103961396,1.52097960455513,1.51474210921289,15.7836468996266,23.4822879770065
"result.11",0.319846645644096,1.53985755670514,1.54205526205028,1.52179034974605,15.4240751861085,23.5720804081596
"result.12",0.338975710999412,1.54914544220671,1.54076582283449,1.56015422662755,15.8532302747078,23.4885900931322
"result.13",0.347633383126977,1.56488168926289,1.55112396054006,1.54545493712814,15.2100395507171,25.2494918522266
"result.14",0.284645570998487,1.52725542457842,1.51784911560232,1.50658535037423,15.7783588063187,21.8710678767433
"result.15",0.325340021505222,1.52243134914924,1.52373985260512,1.49405969287883,14.0918975376082,22.2686351668277
"result.16",0.315695525065238,1.53659834421418,1.53575691747667,1.51804541106888,14.234771768019,21.9419569334755
"result.17",0.341292363676866,1.54754213610955,1.54573170559286,1.55611621745359,14.9823928714208,24.704124500421
"result.18",0.330145046972337,1.53064377800879,1.53578209452153,1.47287484112935,14.7795178057344,24.8891247264219
"result.19",0.321503047839436,1.55153772180016,1.54361827879901,1.56826344231592,16.9748608299352,24.2906987543706
"result.20",0.354587901000879,1.5242825843924,1.51942789426649,1.53685155146655,15.4932831868279,25.4275233546178
"result.21",0.314937909219507,1.50743706152327,1.51332437533305,1.51608576956853,14.6740152281546,22.9509408645494
"result.22",0.343797883439722,1.53953779595789,1.53126840818371,1.49380667961842,13.7255554910066,22.9892915179331
"result.23",0.337860896132541,1.52412028569732,1.51525137941508,1.46101767291788,14.0342936688695,22.4903924314087
