"","V1","V2","V3","V4"
"result.1",0.20438040124137,3.10295114059,2.87883214796786,2.97774337469107
"result.2",0.0754446581593175,3.05643108784323,2.83556963779687,3.08761353898193
"result.3",0.0916395949046047,3.08228424586177,2.83335456514433,3.03472083692605
"result.4",0.103751340122861,3.02997377303636,2.8486398427134,2.98275723965164
"result.5",0.145945045623927,3.10599591727112,2.82884593850735,2.94341897802137
"result.6",0.250735163923338,3.07598470247099,2.79819398776702,2.85421840359379
"result.7",0.164952818508505,3.0681107855863,2.84589555457942,3.01963022334367
"result.8",0.175539454530304,3.05371200661515,2.79167500584233,2.91244191259972
"result.9",0.255256521161362,3.20904711351494,2.94132716129299,3.08483274533783
"result.10",0.222759993075288,3.16866286144677,2.89299770374508,2.98614820286338
"result.11",0.238290413007117,3.11357573581238,2.86775411112847,2.94524959031292
"result.12",0.136389890234132,3.05614835724169,2.83289952532858,2.87955860793804
"result.13",0.129618015181651,3.11261610585781,2.8474291205298,2.99956009123563
"result.14",0.0668739834205754,3.11581638949432,2.82587802259811,2.99221484172701
"result.15",0.132285531161473,2.9907143501639,2.80952028981822,2.87033105187339
"result.16",0.21107902571818,3.22439724217401,2.86165183530437,3.04086012234292
"result.17",0.166404637711137,3.0908370600321,2.82160799439849,2.91547317617304
"result.18",0.0827737176583804,2.99351422226401,2.81287023822679,2.87016035964042
"result.19",-0.0249941752956745,2.94383975214525,2.76595608427906,2.8587698857657
"result.20",0.26171147706487,3.06858726938377,2.87194563875818,3.01378462119135
"result.21",0.122180947861438,3.0632828598011,2.83104896177182,3.00325640487053
"result.22",0.15918791480733,3.05286828534536,2.85158723814571,2.93797418768155
"result.23",0.227276025226743,3.04635835773635,2.82448734617334,2.76598354265013
"result.24",0.072612243979059,3.06085390386794,2.8658403635032,3.04510971367236
"result.25",0.11924167967968,2.99995581897992,2.82262487710926,2.91848657973802
"result.26",0.213246903521243,3.05745223703725,2.88581586920404,2.90729066036419
"result.27",0.246692711328069,3.10979480277435,2.84001076996689,2.89539695165017
"result.28",0.109572042125669,3.03277320602178,2.85348956787545,2.91080101667839
"result.29",0.117836414766037,3.04791622309337,2.85700441297137,3.03904194625405
"result.30",0.166348675705143,3.15841473689534,2.87909389441406,3.02893418096728
"result.31",0.0245146412784847,2.99753147518722,2.75361085661391,2.99129542578897
"result.32",0.155246869306969,3.18821743282984,2.89221074150649,3.13713345599838
"result.33",0.164023282577159,3.03205370805751,2.79820122915433,2.81340817465849
"result.34",0.201057569530529,3.0032354223286,2.82940154590768,2.94832810692637
"result.35",0.291366685648294,3.18371292015311,2.88543809638748,2.9805366013692
"result.36",0.122389119432008,3.14128205371789,2.86573595276997,3.02814666639618
"result.37",0.100188407106089,3.06620917563372,2.89484398867343,3.07089094840809
