"","V1","V2","V3","V4"
"result.1",0.250893848373333,2.94071938646624,2.79983738617908,2.8656511647221
"result.2",0.152021255515959,2.89570734425305,2.75186934665937,2.95831555232347
"result.3",0.167645820743803,2.923398193007,2.77488795711632,2.9254339498197
"result.4",0.162091227473223,2.86309777566842,2.76636204958882,2.84858192950247
"result.5",0.186707790600332,2.91343731930179,2.74122903803894,2.82368239492526
"result.6",0.30732237211129,2.91450268771849,2.74012725488013,2.76620069502376
"result.7",0.213100739973718,2.88490901945737,2.75405493824082,2.886091336155
"result.8",0.242401779094858,2.88572178789292,2.71156724178639,2.78359291617651
"result.9",0.336437125020704,3.02961966994352,2.86341616239963,2.9490198729529
"result.10",0.23987941809349,2.96196338754796,2.78413185600649,2.82713385539625
"result.11",0.303038584121317,2.96298678525518,2.80046094977554,2.83404247803677
"result.12",0.214257026814939,2.91085126266867,2.77885309015526,2.79702992591538
"result.13",0.166760021468163,2.92489477087279,2.75670421325236,2.87500390172304
"result.14",0.136587203853661,2.95400236828928,2.75017411419871,2.86514140172939
"result.15",0.227476240538216,2.85115351255175,2.75443006816495,2.79258612820305
"result.16",0.223334986525926,3.01128109428937,2.77598980774201,2.92164057003185
"result.17",0.222930125073946,2.92376270505828,2.74145131703965,2.79705940869594
"result.18",0.1394002388682,2.83060785341888,2.73323212823681,2.74385933964287
"result.19",0.0341893662617242,2.79687104019597,2.68265247566531,2.74200623312085
"result.20",0.310102162327874,2.88288296272298,2.78556272084462,2.89990838632368
"result.21",0.171849820788688,2.89447022439143,2.742475417128,2.87655155606722
"result.22",0.229302295189994,2.90303314846344,2.79254800044177,2.84156010943837
"result.23",0.303658213416416,2.90951574927297,2.76450421293229,2.67396850438458
"result.24",0.121879187962076,2.87983972597333,2.77309649109842,2.92527666387498
"result.25",0.171362308604992,2.85732623827928,2.75128497582726,2.83578724273942
"result.26",0.223106847687215,2.8564408479084,2.78194087750133,2.77582921447081
"result.27",0.3167927458742,2.94639996267796,2.77302314574505,2.79574626831521
"result.28",0.144771345976501,2.85691466413851,2.76387473953489,2.78808856036491
"result.29",0.173972560487141,2.89913108520453,2.80488456826317,2.93780475488184
"result.30",0.250062708967841,2.99679579320762,2.81834460417451,2.92586268285048
"result.31",0.106489047118661,2.85702630130526,2.71100587125077,2.92451574760906
"result.32",0.199031388181065,3.00640952199201,2.81137465122408,3.02877351265923
"result.33",0.206580474690164,2.85595707086266,2.71931166040952,2.71416758258391
"result.34",0.261993475455757,2.86734343302401,2.76532781916437,2.82757913772182
"result.35",0.347305689357532,3.01002099256191,2.81110062972113,2.86064169305915
"result.36",0.205531804791903,2.97279126570483,2.80846003682215,2.94887669001817
"result.37",0.167932228676898,2.90473527723531,2.83559202556445,2.97257760861812
"result.38",0.223555789634746,2.89789774324051,2.82260920056658,2.82755308620497
"result.39",0.382968750313535,2.94545124306742,2.80523767297713,2.86545919746919
"result.40",0.280650916272641,2.90645781341841,2.75869296724835,2.80504122471247
"result.41",0.29184821620282,3.00352329762923,2.81134096562377,2.92585030145975
"result.42",0.168988726684788,2.84562214670559,2.7437727411252,3.00449119462299
"result.43",0.0912871475597142,2.87827030928498,2.74442378495198,2.98344561061958
"result.44",0.237706578223749,2.88333342292348,2.75964307739513,2.85746201743989
"result.45",0.128346924361805,2.85440204612205,2.66618571901017,2.71823010948479
"result.46",0.260025731449985,3.0069672049843,2.92675799608002,3.14370473842931
"result.47",0.160833857589846,2.92308351983861,2.76985176408348,2.94495476807697
"result.48",0.205018641428915,2.9343215514105,2.80265805666853,2.8567970278502
"result.49",0.0785387275434787,2.86418797960715,2.66533516030226,2.8046126357409
"result.50",0.16262244226654,2.88593318660208,2.79179925782991,2.88191317162097
"result.51",0.19687804221152,2.93543841123658,2.79586524163697,2.90883709412149
"result.52",0.248928268326312,2.91329272972245,2.82143097490234,2.93134393547878
"result.53",-0.0298547864531343,2.78498045136568,2.70850501157801,2.87834117893625
"result.54",0.284229640563257,2.86784717392056,2.73239234825428,2.64703694566825
"result.55",0.205351904322642,2.88804269440119,2.76701009602847,2.82494255863685
"result.56",0.128011740344956,2.86186641933275,2.7215831529912,2.85861212605283
"result.57",0.185091866248165,2.89115623972103,2.71403543546913,2.67704373633327
"result.58",0.285741210266397,2.891606005688,2.77118672573623,2.76191567309659
"result.59",0.165052611840662,2.89969557574522,2.73556193396049,2.75398881745788
"result.60",0.207784112147451,2.85880934316261,2.71875626751434,2.70606501448141
"result.61",0.157507301111459,2.86141510834778,2.72423274162026,2.79116176712897
"result.62",0.18731384638232,2.88536717398233,2.73270972712646,2.72970384040112
"result.63",0.1246197396376,2.87313440637917,2.73520377930706,2.85476116082622
"result.64",0.244838814582789,2.93799421876448,2.8185617628781,2.90258678978294
"result.65",0.153071787449368,2.85523380545986,2.72047037586118,2.79586414300856
"result.66",0.213647887312379,2.87088493443627,2.70154418794775,2.79133705887742
"result.67",0.281615319725908,2.95827109344535,2.76282394354965,2.84810976154164
"result.68",0.151369595699313,2.90763341445439,2.7361265051729,2.95151335811263
"result.69",0.311404034790621,2.94934985584513,2.80636079714333,2.84538978093395
"result.70",0.186941415179006,2.97486387362455,2.79277780614008,2.96330334993794
"result.71",0.29374933524207,3.00294269477034,2.82688593215364,2.94977336125212
"result.72",0.313670499825021,3.00096814975102,2.8408921412899,2.91659874436993
"result.73",0.124027998981024,2.81676514194308,2.7446769718953,2.83911661201837
"result.74",0.20411193211033,2.91064667696178,2.74485864087951,2.93665647419921
"result.75",0.335694131845298,2.97303445606346,2.81651627268531,2.88935228614262
"result.76",0.19242155067546,2.87307755511558,2.69879804323442,2.7275792189398
"result.77",0.37133374603703,2.97212345366795,2.83293766332436,2.7771971742641
"result.78",0.219431404604786,2.87657959874073,2.75022658735514,2.85643771301227
"result.79",0.153406539514034,2.8847788613604,2.79429979890181,2.94674494838287
"result.80",0.168239861968883,2.93444241215644,2.73609760374897,2.73775576012636
"result.81",0.25915826920052,2.92887993596234,2.75896840699912,2.79285430484573
"result.82",0.200815962347279,2.86825251098679,2.71591963130156,2.65484035640414
"result.83",0.282428555627711,2.92674950962859,2.79537623081278,2.80454048663985
"result.84",0.095810610778971,2.84982615695053,2.68010207701025,2.68262941103324
"result.85",0.203642640702489,2.88512314936634,2.78296958309499,3.02189859016232
"result.86",0.218563288120311,2.92243793178626,2.75738426386692,2.77622730732384
"result.87",0.256773990694981,2.90635450150863,2.7312893629695,2.70462958758668
"result.88",0.195012026885867,2.93098350638569,2.78318447106948,2.98984580814649
"result.89",0.236398916226114,2.93357013622631,2.71176454179141,2.77525717631339
"result.90",0.26650707621397,2.91203763662635,2.78024309824623,2.82424276034951
"result.91",0.210463315839366,2.95390716549866,2.78272517638315,2.89272783989541
"result.92",0.10686549557013,2.85182650339618,2.72761420109053,2.90188453418027
"result.93",0.0996732624566186,2.8820310050571,2.75700764253195,2.90394624307973
"result.94",0.188998502646271,2.91124343755917,2.77056377023884,2.80526323263283
"result.95",0.1967523539988,2.83189052313142,2.69849455641684,2.77097326648564
"result.96",0.173791025840414,2.91968648224093,2.79855935748346,2.94452221589556
"result.97",0.197510195907746,2.94711458072653,2.78479782966587,2.95351363038476
"result.98",0.252660266257967,2.89402396919099,2.75100742158984,2.7130587402063
"result.99",0.149366824009711,2.87417448492622,2.72381215274435,2.80385144279116
"result.100",0.142928424578887,2.82820856709695,2.73811896002186,2.79274557578562
"result.101",0.198919513285894,2.9440578317559,2.81373733202558,2.99019702485138
"result.102",0.06252554451458,2.82269928526638,2.71090620710582,2.8290143383094
"result.103",0.20608132326841,2.93754949078387,2.76895312129672,2.86312167583621
"result.104",0.147766571640018,2.81859235093803,2.71732977189623,2.82356461202244
"result.105",0.16760944211579,2.92883887229335,2.80021563106133,2.92353188441394
"result.106",0.187508493083437,2.86923908052435,2.74386048251673,2.82315821172538
"result.107",0.244261642009809,2.85601393827002,2.73633631284626,2.78977628382801
"result.108",0.0785057196511671,2.88509874300099,2.69692268219219,2.82346951915923
"result.109",0.188990476051902,2.85107730662626,2.76224636814389,2.89151897568308
"result.110",0.179729641246869,2.85223713452438,2.76051375001325,2.93225348885554
"result.111",0.272053767256116,2.95286684357456,2.77591080458176,2.85164441670734
"result.112",0.199660551602423,2.86146352056204,2.77411543288273,2.76892819955837
"result.113",0.245557815411473,2.86920291872252,2.74349564259679,2.8167838971554
"result.114",0.127827887736617,2.93191987805982,2.80440586226371,2.95561669702025
"result.115",0.170812603090259,2.87280259169497,2.79863216427446,2.97287051925533
"result.116",0.27021652048234,2.85428897331198,2.74203620119067,2.82833519565447
"result.117",0.268361610276406,2.88591365162671,2.78156169996111,2.81871000573356
"result.118",0.201462296304599,2.94139709104114,2.77453255153627,2.89065021582038
"result.119",0.245549659460841,2.99728191402229,2.89341481859753,2.90439218158674
"result.120",0.14171696709033,2.97425915712926,2.71990963051373,2.81610362883569
"result.121",0.112539689582467,2.78415987280328,2.66444099064086,2.74848391596315
"result.122",0.287435015187087,2.89974582361566,2.77503410381431,2.82456693240031
"result.123",0.112041947144635,2.8570908073925,2.66263766350648,2.76888616085599
"result.124",0.206624132626868,2.8810416228554,2.73016428243647,2.73471049499641
"result.125",-0.00305124559076533,2.83015578850274,2.68326164734567,2.78833773716347
"result.126",0.168565943655897,2.80865629534249,2.68452981480968,2.73638717128102
"result.127",0.242318220490314,3.0026141034933,2.85038764271786,3.05480928632606
"result.128",0.183990819642648,2.91232525191192,2.76854061597177,2.84789177605816
"result.129",0.198313693207491,2.8998834577131,2.80411672716326,2.99641575429167
"result.130",0.135048487873293,2.77166675703664,2.68131103892672,2.71476063792775
"result.131",0.136398775638368,2.82918987346594,2.73012490473576,2.91916027324903
"result.132",0.253734091064502,2.97939604848685,2.81838319205184,2.91307058697474
"result.133",0.313050943253637,2.90061112225143,2.81015121023436,2.88954594323576
"result.134",0.227982859459326,2.93018324803845,2.78449459620604,2.88331515167573
"result.135",0.0765284797916748,2.87922702432672,2.71834873243288,2.88409154081419
"result.136",0.170389532964083,2.90885274600695,2.76507184605372,2.854605215474
"result.137",0.170724435418279,2.91847011080352,2.80341573716,2.95503570405085
"result.138",0.190904062249839,2.95662349691787,2.77661901438846,2.91519782157228
"result.139",0.318537158835635,2.91341325834635,2.76499418216804,2.70072808889417
"result.140",0.200895137044696,2.84632026042466,2.70507859060211,2.83054923734168
"result.141",0.159506672879665,2.91629319696053,2.73464481786672,2.80066928300094
"result.142",0.246392996198002,2.90651915127023,2.72320618893988,2.80288086624049
"result.143",0.185371534903914,2.87993658490636,2.77525114746102,2.86004092872795
"result.144",0.183745739627133,2.94267826203524,2.84466906718321,2.90587266770534
"result.145",0.148812190352677,2.93079538336463,2.79387989162972,2.89706172660339
"result.146",0.131805588394403,2.87970022233121,2.74356915817517,2.85712483383241
"result.147",0.266290386209859,2.92079172841849,2.72178806478914,2.84652084262093
"result.148",0.107456456075297,2.80228606214334,2.66593441122179,2.69453809193159
"result.149",0.183808548131346,2.95160095768106,2.72251215884642,2.85912885750613
"result.150",0.204366703632883,2.90396453247924,2.81563013975595,3.02938855328255
"result.151",0.248135289470966,2.96818208178566,2.8254737648941,2.938868903979
"result.152",0.125022810375546,2.8398531401825,2.72115704055514,2.72102649823102
"result.153",0.212697069587107,2.88857045379912,2.78828444059738,2.82996821184763
"result.154",0.0256878354973613,2.83603725078836,2.67543056842778,2.88615815367309
"result.155",0.163185139606452,2.79435023210914,2.74452661001351,2.87252354840966
"result.156",0.111531457984825,2.87859181081169,2.71714703659567,2.90432413011088
"result.157",0.334440845175661,2.91486332581884,2.75246757474312,2.7268605492855
"result.158",0.276346332813558,2.91149119952688,2.77894787044841,2.81246129146599
"result.159",0.305605346795506,2.93211047215856,2.83365915231649,2.81497790272702
"result.160",0.17696577758221,2.90724456209923,2.76925055337912,2.85650665168928
