"","V1","V2","V3","V4","V5"
"result.39",0.466628095609541,2.20615088472193,2.17503066260419,2.16277412649311,11.176856613985
"result.40",0.325077838523993,2.14168211907751,2.10439568143454,2.13373688301751,7.89026671695708
"result.41",0.361024909041659,2.1998439024934,2.15508111121584,2.18118878980537,7.32177281593507
"result.42",0.299201991387709,2.10645274748893,2.09941471328322,2.23619710200354,8.54440703210305
"result.43",0.242041819926295,2.12588044962275,2.10888685027406,2.22932990571362,8.0061078987537
"result.44",0.305316850954362,2.11061248650026,2.09530952123948,2.13628200155579,7.68311145837883
"result.45",0.249876147172906,2.11243678758952,2.07474685778925,2.12481677930693,8.02253824465434
"result.46",0.311491011021847,2.19070532100636,2.19086684801986,2.31736766217014,7.95098747149505
"result.47",0.259763030709457,2.14976343566325,2.13462308770864,2.20824480900398,7.32968347239225
"result.48",0.330628976205167,2.16936617172066,2.15035177503006,2.14514045080298,7.96330240053525
"result.49",0.208781952117497,2.11062990671132,2.06387399634885,2.16583856450958,7.54416991332211
"result.50",0.267257085996283,2.12682367687198,2.12677208313151,2.13171405275775,9.36156842797525
"result.51",0.319824071437566,2.17777071614434,2.16259476937168,2.19271242395029,9.09887455840635
"result.52",0.356755720208639,2.1491616429466,2.15331452184397,2.16920997417773,9.16578824940643
"result.53",0.149243974302491,2.09489653506913,2.09928978037835,2.16358358854648,5.87550143292349
"result.54",0.296871067886689,2.10161526117188,2.07849292315735,1.99605142360865,7.25945808896019
"result.55",0.298411498271965,2.13773008191085,2.13976258561684,2.15512240040199,7.83235353925547
"result.56",0.236164057059358,2.08158640586266,2.09355981614406,2.1498659955403,7.62276739023882
"result.57",0.291395474687147,2.13681268283075,2.08822489080221,2.01883269749656,6.58556180832349
"result.58",0.349896258929755,2.12664203172066,2.11948858294164,2.09351384349881,7.60028356927112
"result.59",0.263077194028881,2.13867146858477,2.09607952089627,2.07424971601713,7.6112943941175
"result.60",0.322644054641675,2.1558434916287,2.12080127934981,2.07908134176757,7.14303460338654
"result.61",0.228259377388315,2.10452212015226,2.08987327754437,2.10585169432362,7.40742592911857
"result.62",0.23940814388964,2.11523191016364,2.10409537253785,2.09371117794082,7.43003346203049
"result.63",0.238182516632497,2.12305783073219,2.10614835230622,2.17854674070353,7.10516662560449
"result.64",0.351854844330153,2.1805235994567,2.16901713322873,2.19481771539028,9.94749368680778
"result.65",0.295301837590987,2.14761167311108,2.11024391382899,2.10573130725106,8.63108410051527
"result.66",0.316466280792461,2.12431057022705,2.08469916651907,2.10184751601012,8.11432873954054
"result.67",0.370505454095021,2.17091336731071,2.11950406201427,2.14502788826838,8.56284126239134
"result.68",0.308500781360949,2.18163569654214,2.12214314765651,2.25984174344706,8.73778334793054
"result.69",0.403592211068231,2.17391900196187,2.15068056384678,2.11811847145082,8.15449620643236
"result.70",0.30193987655755,2.2035841672641,2.15125495472861,2.2160722886675,7.91674947318312
"result.71",0.338536988516299,2.20010074860539,2.15213510552106,2.21565857880181,8.60118824594782
"result.72",0.379376673420384,2.20847361512641,2.17711886456229,2.19463451269357,8.13089833224187
