"","V1","V2","V3","V4","V5"
"result.1",0.295888138531649,2.63968724776283,2.56359693928278,2.60734582248366,10.5348021094228
"result.2",0.218881328282389,2.58162495006902,2.49970917474444,2.65083082655155,11.2882549817162
"result.3",0.219002074272602,2.59510864003954,2.52795333959894,2.62830040527915,10.2986892201012
"result.4",0.204807493064235,2.5557594551368,2.52628097552071,2.58077748421647,10.1921198747009
"result.5",0.261103217185719,2.60997401381653,2.51847794252215,2.56001205192223,10.0349788894939
"result.6",0.366671184083905,2.60535991099394,2.51690428547725,2.51803572703284,10.1041742586174
"result.7",0.258002778482226,2.58075779209941,2.52371411686288,2.62190997061844,10.3570978082782
"result.8",0.324116903271245,2.60404276993765,2.50766449649616,2.54880524376544,9.71801366231815
"result.9",0.405597009321266,2.72124969681933,2.62808208920074,2.65786347530133,9.39863760773687
"result.10",0.285350391971631,2.64475513510435,2.54232037569436,2.54981779324995,9.44190521399986
"result.11",0.371973266630157,2.66808807022442,2.57778686992077,2.58428357376292,9.50758360868395
"result.12",0.257808459110088,2.58794542270226,2.52754466508014,2.51666192008163,10.6501229928333
"result.13",0.239267690799186,2.62319063552778,2.52656943865316,2.60506048417957,9.68159982252246
"result.14",0.19752793741157,2.64035708201878,2.51436030116057,2.58129132614342,10.7779723313358
"result.15",0.245522047667672,2.53370621447949,2.500587658459,2.49289828946415,8.64451970344229
"result.16",0.282787329363866,2.68256339010818,2.54256673904678,2.64684840719987,10.4914793089477
"result.17",0.241578211139969,2.59583574952581,2.49700544470912,2.51657053809461,8.88880938990381
"result.18",0.222120907296997,2.55782511487884,2.51157904588008,2.48335876802776,8.86669549141227
"result.19",0.110106917417303,2.51337024290985,2.45301351680928,2.50165818776129,10.7266626384915
"result.20",0.391690274223233,2.60592802783326,2.56204034343391,2.63525509428705,9.76283041657246
"result.21",0.222012859916284,2.57749343097873,2.49461148243356,2.59495805651013,9.50955162695888
"result.22",0.306722244243877,2.62335773207621,2.55466705603537,2.55612166137589,10.013534787839
"result.23",0.377694864810514,2.63790166759135,2.55453919796649,2.44514401808458,8.77981269431967
"result.24",0.197225834617653,2.59365542714325,2.54409935687404,2.65783374333226,10.7934838661591
"result.25",0.220384491516444,2.56825366046943,2.51491982241018,2.58624934293315,9.85885586611232
"result.26",0.301628396338962,2.58120420063271,2.55458757510929,2.52026019833396,9.47181410460174
"result.27",0.361851556374709,2.63459177926909,2.53643343655362,2.52801507653033,9.87350398927991
"result.28",0.17568970199416,2.53729315278295,2.50444263372565,2.50948691019047,9.37444794162989
"result.29",0.242727839083906,2.60658497883029,2.5807856076299,2.67009750094761,10.6007500211332
"result.30",0.300125638317062,2.67585489708813,2.57480406417036,2.62438636582415,10.2947992829121
"result.31",0.177330898683923,2.57223460480795,2.49089744947348,2.66315289821162,11.4064613963577
"result.32",0.250261339409765,2.68352825051649,2.56962915915371,2.75483287567804,12.2772384905173
"result.33",0.257530345729579,2.5750507698891,2.49203027866725,2.45399149063352,8.90288488675006
"result.34",0.300804971367262,2.57082772546553,2.51416077358601,2.53702240936769,9.43689066419584
"result.35",0.394925304293598,2.69374663120213,2.56583095955853,2.56970160430719,10.4357990713719
"result.36",0.248179392757401,2.65659524541542,2.57658467471568,2.67248900780945,9.70309517327506
"result.37",0.211308977853461,2.5784850743415,2.57469406023418,2.65750528227065,10.4477880754761
"result.38",0.277068656093775,2.59539087253904,2.5884596956896,2.55055948547794,8.97913204103096
"result.39",0.429876562352981,2.65028801267224,2.5846563731853,2.60380616323489,10.5246726250865
"result.40",0.341624236321389,2.6260499377957,2.537144677084,2.56758318312113,8.99932849769326
"result.41",0.327792164443138,2.672168467867,2.56050492874126,2.62075741370192,9.4502012730585
"result.42",0.248031913503091,2.55448032250501,2.51378496675515,2.71636655425396,11.0495750608618
"result.43",0.179936982764286,2.58506581409438,2.51820479265164,2.70456925446183,10.4681245949101
"result.44",0.278718892418214,2.56902826687829,2.51701959427483,2.58692811528533,10.2268423965056
"result.45",0.198429453468671,2.57197310461939,2.46261803622405,2.50795816363409,10.415195679494
"result.46",0.325826760836129,2.69820796814808,2.67259445207615,2.84830955450999,11.3225789417182
"result.47",0.225455242727214,2.61706039189911,2.55332705743779,2.67915012662838,10.0246118801029
"result.48",0.265360444658738,2.61611887008902,2.550820257937,2.56775159484781,9.63501919273969
"result.49",0.133552693842076,2.55082363462761,2.43957684854991,2.56323787407147,10.9018763264505
"result.50",0.230280448622868,2.58784245388161,2.5491618284943,2.58901991008837,9.04411217270559
"result.51",0.275944658658818,2.64884419722388,2.5817962682889,2.65377127036606,10.238273353799
