"","V1","V2","V3","V4","V5"
"result.1",0.0198133250417156,1.41471579088524,1.40635785547619,1.4341191737085,3.43314759233438
"result.2",0.00611851352583846,1.39368824783142,1.38212094499487,1.43918212726691,3.53250630030914
"result.3",-0.000294712579534254,1.38101290581375,1.37897905816149,1.41751629141496,3.18935809853605
"result.4",0.00102532894499619,1.39474020536985,1.39430088960906,1.41588389100334,3.17604103817202
"result.5",-0.000365602402440631,1.38346410852963,1.37582014754967,1.36415515437917,3.04514001298087
"result.6",0.0516564236963913,1.38480126125866,1.379559828006,1.36235365531595,2.91303231650978
"result.7",-0.0169568538776157,1.37081447167468,1.36699997403599,1.40109025171684,3.18799141136324
"result.8",0.00705695148019122,1.37898196949671,1.37844428597608,1.35887432835048,3.04164238115371
"result.9",0.104741421422278,1.44737353088114,1.44247683853783,1.41059764719781,2.83397334122352
"result.10",0.0330639185994869,1.40197555521206,1.39045891126444,1.35419508575527,3.00066941626888
"result.11",-0.0145457782314442,1.37542399896634,1.37476360873251,1.37464190738477,3.09080939267974
"result.12",0.0275546157292211,1.39850122731049,1.40139928453268,1.39379044813295,3.25406195251937
"result.13",-0.0250224385591227,1.37920355059752,1.37320292957084,1.41222980662232,2.86943223621202
"result.14",0.0344602257582681,1.42288558739297,1.40550086748722,1.40199665340085,3.23653057538561
"result.15",0.0341081697250522,1.38161989236983,1.38245508994966,1.33546739618749,2.72547018552495
"result.16",-0.020094408323063,1.37697474971482,1.36461531784318,1.36793128621621,3.27227788939376
"result.17",-0.00328380455070122,1.37912491962962,1.37314482884379,1.36316334235405,2.65109574192115
"result.18",-0.00520913569335633,1.37467350415674,1.37241253149576,1.3337517985575,2.74818607249346
"result.19",-0.0357228765977426,1.37506774419871,1.36984405308677,1.41518948883388,3.65611756396003
"result.20",0.0419623128936052,1.38124291339609,1.38793865124869,1.37486248255545,2.90864198105819
"result.21",-0.0203306507983877,1.36753410342661,1.36229312260991,1.40860950525277,3.27034691465827
"result.22",0.0180373344466332,1.39918420898526,1.39071589375003,1.3409340558094,2.81375342845863
"result.23",0.0145269908954289,1.3722016421878,1.36615199010419,1.30033039970916,2.82720073284338
"result.24",-0.00902579896520289,1.39273908546428,1.39319265843427,1.47387698663643,3.68453820550289
"result.25",-0.0353715864115941,1.36441434115033,1.36232367191287,1.4233691536556,3.06301284273346
"result.26",-0.00810345480346486,1.36773370917952,1.38106862598912,1.33733804480168,2.88087618780271
"result.27",0.0252737390197275,1.38466649204811,1.37981372934641,1.32783206498299,3.03799405980374
"result.28",-0.0275274230735526,1.36073059181645,1.37256589086262,1.38402076345864,3.22909176033895
"result.29",-0.0173453620419373,1.38512835401318,1.39191512696742,1.43214242519206,3.39607482418032
"result.30",0.032123343875098,1.4123435614384,1.40084773482809,1.38350652494941,2.91737263507503
"result.31",-0.0326346023618103,1.38880215839054,1.38541087945823,1.46448657498305,3.65736821591194
"result.32",0.0268357399186657,1.44981980030571,1.42918024691457,1.49955671841542,3.61692270430058
"result.33",-0.007853135480831,1.3719701145721,1.37201685290361,1.33750479918439,2.78412535881975
"result.34",0.0350715146204111,1.38505806244315,1.37714787536989,1.36986780340883,2.89376029236647
"result.35",0.0493074139204529,1.40110319646595,1.38696393088648,1.35233535793795,3.12462432915323
"result.36",0.00757038916420575,1.4093536516234,1.40772255143109,1.47076517567633,3.38252346075024
"result.37",0.0238931034449748,1.4098347302813,1.41397460098659,1.4411334853955,3.39593279619851
"result.38",0.0459532983091005,1.39327639815387,1.39456271529546,1.32276367443082,2.81842117884505
"result.39",0.086092898652456,1.42942627207794,1.42390164724335,1.39650283651665,3.12852574965741
"result.40",0.0359453072317764,1.39232351898667,1.38519059180407,1.42974612894966,2.91759597251471
"result.41",0.0568848664583989,1.42157125308911,1.41281103035129,1.43230442478908,3.06147801193483
"result.42",0.0124835814264322,1.38511870516447,1.38336684491031,1.45124078145316,3.22137765384977
"result.43",-0.0290284761805069,1.38215284686167,1.3711341228004,1.41438314641943,3.24994668445597
"result.44",0.00372897298199117,1.36352579195187,1.36280497770769,1.37143563732681,3.07525097783175
"result.45",-0.043983166119966,1.34714961306628,1.34267754756052,1.38379686649671,3.46215881874522
"result.46",0.0304767483025874,1.4187378701236,1.42309614260975,1.49266297306191,3.61248312823926
"result.47",-0.0151166905801571,1.38583292112846,1.38318904968917,1.42604476029384,3.13997451713571
"result.48",0.0245726257760899,1.4000687025355,1.39485376520798,1.38759840766271,3.16391317020794
"result.49",-0.0413491660267382,1.3499665591041,1.34235122591508,1.42047122557031,3.38133158047675
"result.50",0.00053408642464708,1.38830946954509,1.39123953286711,1.38953882688407,2.75380504577476
"result.51",0.0340415338862829,1.41440436354826,1.40912027119337,1.39374228321538,3.09335234512355
"result.52",0.0161514201374679,1.37635036724358,1.3911694063156,1.37206365830588,2.98567835053845
"result.53",-0.0220197779740017,1.39691215064618,1.39502986867479,1.40394717716551,2.93569341859962
"result.54",0.0345326620460621,1.38522114127163,1.37645461604756,1.3089463076512,2.62822974452454
"result.55",-0.00845639440577357,1.37937546276428,1.38852349758798,1.40560713200493,3.33491275080191
"result.56",-0.0178345601908468,1.3663811438298,1.37259952555599,1.39873968642044,2.94122159654624
"result.57",-0.0257652918232344,1.35218338938344,1.34398758996094,1.29010716415195,2.60402500989062
"result.58",0.0247781998362238,1.38010451209691,1.38479463588958,1.35922318586935,2.9580575079298
"result.59",-0.0169381088996669,1.37955482186184,1.3766790922504,1.34825704227138,3.00896004411062
"result.60",0.00708264488311859,1.38979087961707,1.38921277870024,1.36469505781494,2.92007392180288
"result.61",0.00496630947058242,1.37026492205504,1.37791495596968,1.40464440319355,3.17491520580157
"result.62",-0.00885768612652164,1.37747076727146,1.37381185566301,1.35781488059658,3.05424109772958
"result.63",-0.0285612892003898,1.36932723998612,1.3649871884538,1.41125070749759,3.12681742747879
"result.64",0.0292196890062511,1.40729573454474,1.40633043023401,1.40985935985583,3.20789527508288
"result.65",-0.00878996473619926,1.36895157282328,1.36681966817789,1.36816622533916,3.07392339963992
"result.66",-0.016392789595384,1.37484138283242,1.37124860545155,1.34391213342044,2.9123824044349
"result.67",0.0152985474024386,1.39246238893748,1.38291433509689,1.37076659004901,2.72710345801632
"result.68",-0.025608287275611,1.36691452450119,1.35525574076229,1.46567203243579,3.55939354421418
"result.69",0.0360176828580716,1.39231342759604,1.39611771793253,1.35022948256694,2.85976454626522
"result.70",0.0270364711307464,1.41509016633738,1.39999541766256,1.45790568323797,3.50542047464987
"result.71",0.011305340224359,1.40756557597597,1.39746199598822,1.46023760902467,3.25312407253304
"result.72",-0.00546689190778308,1.38220560365231,1.38426367719792,1.36573865806966,2.85909014621636
"result.73",-0.0162153727244307,1.34932196696428,1.35372758701945,1.30320086608469,2.54735060546932
"result.74",-0.042743270901726,1.38352902073035,1.381476631517,1.48272436743775,3.49430660450734
"result.75",0.0552213896875552,1.40620926801003,1.41088399568782,1.40472880212719,3.32358109125977
"result.76",-0.0339566079891487,1.35169972563109,1.35126307357246,1.37616550777369,3.3981968987888
"result.77",0.0218763136072362,1.40583362609372,1.41098595791376,1.3854597943225,3.07422945648055
"result.78",-0.00388469368079898,1.36046823467919,1.36642805807332,1.34285550562655,2.8027337801499
"result.79",0.0167917620338391,1.40678776864666,1.40689292421352,1.45691905896143,3.28732041603872
"result.80",-0.0251738946069544,1.38150927906401,1.36771198206875,1.34625942474741,3.09337089493471
"result.81",0.0127417037189903,1.38262394621968,1.37607277674365,1.34179364565675,2.90817020263666
"result.82",-0.00946919802907904,1.3873862368794,1.39204281581183,1.3713838259776,2.93279915786938
"result.83",0.00902626554807628,1.37683745086716,1.37950086302787,1.39618190663487,3.10050882048677
"result.84",-0.0132913719479584,1.36120304145726,1.35815819733106,1.31407944827703,2.83206268787541
"result.85",-0.0147356005131413,1.37525548666228,1.37918861208827,1.39592669011634,3.40943231195437
"result.86",-0.021361489242625,1.36846451976129,1.364617627266,1.33424115627556,2.91043802199161
"result.87",0.0308082133454133,1.38162826777578,1.38220004216168,1.33401052657407,2.70350419588509
"result.88",-0.0276960767543936,1.38616011571122,1.3901167130018,1.49132914254336,3.71129240695019
"result.89",0.00717991778969336,1.38020487316162,1.3657013005763,1.3664184056344,3.08690434452799
"result.90",0.00547797586103651,1.37194294905381,1.3672208018096,1.32821110954326,3.17623506976975
"result.91",0.0301205099439969,1.41073388892507,1.39922834737506,1.36906389826447,2.90252498169299
