"","V1","V2","V3","V4"
"result.1",4.14971847105066,4.14827832172053,46.055214645813,28.6489663244484
"result.2",4.66457446591659,4.69191423299891,59.1588951671388,43.5945440930594
"result.3",4.3600234145171,4.38974389331879,55.4836039192915,32.7287588213163
"result.4",3.59077421234165,3.64848003948727,45.8745189592053,26.3423869080964
"result.5",4.39768608110356,4.40905671003134,57.6529144100927,34.1014701067097
"result.6",4.27536994331088,4.32849274869257,49.9600072879161,34.1345989282909
"result.7",3.87471050974679,3.92114903846036,37.9398540285836,24.0778547090836
"result.8",4.0082561406145,4.02145069229235,46.7720415057746,27.1735194570939
"result.9",4.40508863547307,4.38116145839572,56.0923319305322,38.1310003491203
"result.10",4.74815680632959,4.74779347548355,66.1205702008482,48.5330188747604
"result.11",3.91814581860885,3.92184441694908,43.5336127492302,27.2307999452886
"result.12",4.09695350419577,4.09012854274714,43.9883706453285,28.1847716354248
"result.13",4.49537483864457,4.46020162300884,56.2517935073873,36.323558090269
"result.14",4.42816361090033,4.49918279677869,50.3411518782029,32.3753916457493
"result.15",4.00622734502303,3.98199478517552,42.0000577220072,30.4803905042438
"result.16",4.01749821882255,3.9672883400501,50.6050093282283,33.5774822188884
"result.17",4.3799544468751,4.43290772999881,49.8636187148519,39.1727664226166
"result.18",4.30579749292635,4.35295260867053,51.4547604297464,34.9549359445266
"result.19",4.77617677993106,4.78477666627711,61.4687791881563,44.7802102524536
"result.20",3.97973129103176,3.93629261143228,41.837314748161,27.3128794545005
"result.21",3.97589257269757,3.96191147077483,43.410373604713,29.1284368662516
"result.22",4.77085612223937,4.78593784969632,59.3762780041149,39.6582760407045
"result.23",4.64254063413168,4.63956895837852,57.3648261132034,41.0039642965376
"result.24",4.55028048815395,4.5661966991159,54.0005015282432,33.5897188708208
"result.25",4.28601073366476,4.31729081539831,47.1401330830177,34.5120941178749
"result.26",4.46966960245603,4.48644216792217,53.0112762492665,35.411748795841
