"","V1","V2","V3"
"result.1",2.24624651688006,4.34680114238309,28.6326158967138
"result.2",2.4057601498925,5.26323186237271,40.1302442895201
"result.3",2.1854755345078,4.38751195236519,32.7994873168408
"result.4",1.66256698273044,3.29495541963498,26.796444892005
"result.5",2.09678727276237,4.40839008246912,33.4450324808106
"result.6",2.21439615434176,3.72228590529473,33.7039380205133
"result.7",1.98689062771119,3.55843374754911,24.3302405713992
"result.8",1.82559738142814,4.32755524531234,27.4110958673045
"result.9",2.32773863779182,4.11026066036793,37.1996316854679
"result.10",2.6864584839115,5.36354307869923,46.8857168760546
"result.11",1.97337815750227,3.91183373718907,25.4906343110501
"result.12",2.36198540838285,4.10094024906632,28.4891609817719
"result.13",2.36148133004559,4.62263386501994,35.8023308814233
"result.14",2.05462849116876,5.13892899072934,32.3463493580232
"result.15",2.30043755755072,4.16449471468256,30.3687099956144
"result.16",2.28458224889645,3.92995034788068,32.5510169789905
"result.17",2.2530361852124,4.36600289521372,39.5908844478626
"result.18",2.32072609234217,5.14924669609432,34.5825211530317
"result.19",2.75133413200701,4.16837713171406,43.0758117797475
"result.20",2.03592271116908,4.29806186688352,27.3578980156836
"result.21",1.93578778158761,4.14175946919775,29.6694785659432
"result.22",2.50476480111732,4.80733680946824,38.9870044781576
"result.23",1.91806078610604,5.11270370267432,40.9417588466268
"result.24",1.87785161911849,4.31876103715134,32.1119408545945
"result.25",2.3074607131637,4.26916667494656,34.7026970457143
"result.26",2.50118812521747,4.47155964160561,36.1423299846642
"result.27",2.33858168825298,4.03433660747037,38.8958623053111
"result.28",2.05592208566115,4.36208477623593,31.8860577281065
"result.29",2.1845102237671,5.23340358178647,32.0357266952878
"result.30",3.11568454861705,3.68824014039215,51.955048231189
"result.31",2.20871510393937,3.61184184892894,25.7198951659745
"result.32",2.10877891532095,4.56267227901943,30.0752075045344
"result.33",NA,3.9266849291299,NA
"result.34",2.37460274892159,4.25268849600913,33.4938800796013
"result.35",2.80616958653486,5.4865505570157,43.9384264867749
"result.36",2.2843350304439,4.0061331062718,26.872456915249
"result.37",2.18619167594655,4.65003701252026,32.4072662454363
"result.38",1.84033044689231,3.05646032034547,27.020914706024
"result.39",2.36563098433742,5.25510902673064,45.4237913663233
"result.40",1.97943678179326,4.20120850301206,33.9732528415756
"result.41",1.91075150101683,3.77536222108942,33.797934524091
"result.42",2.16527137713016,4.53957324759166,32.3644940142808
"result.43",2.12566470698704,4.04113460376589,28.9016593053575
"result.44",2.12368682038036,4.42306277822908,34.5373631043002
"result.45",2.15646065899271,4.88693360765926,35.5853769686928
"result.46",2.62436849771499,4.9916116179168,46.6582204638026
"result.47",2.30880034149037,4.58387224074745,27.0263397355878
"result.48",1.89524649633186,4.60429369458844,32.2624253812355
"result.49",2.33353988478046,3.75635936828136,38.0462685202037
"result.50",1.42715792519052,4.28988872632807,29.2405522952507
"result.51",2.22898947695464,4.98982662942257,38.1565148547733
"result.52",2.07632892719479,4.99126346717365,32.7009236489378
"result.53",2.29735061707934,4.76748167383372,33.0095783045972
"result.54",2.35292293469505,3.75335567988271,33.2512959735336
"result.55",2.31765958533596,4.50352486759745,34.9229790020132
"result.56",2.3634567066306,4.44329908608118,45.1916205951328
"result.57",2.23219430145336,4.81978885339248,34.7658406620729
"result.58",1.97365038693578,4.11546107016224,28.435040142684
"result.59",2.38769060507512,4.95137202741718,34.4770039314325
"result.60",2.10846582868115,4.54040482518346,31.447171169711
"result.61",2.17647366332228,4.76507317381486,40.1251144812098
"result.62",2.39230836177425,5.04734945174637,33.0375291317177
"result.63",2.29465757111302,4.59298673594733,34.7224100933089
"result.64",1.97364977505941,4.29072569308268,31.9462793287371
"result.65",1.86275565871718,4.44939907563949,31.1982156101985
"result.66",2.2977458589435,4.50442737373931,34.7634142249529
"result.67",2.19186664219329,3.47045868452798,29.7358457070553
"result.68",2.26425444354537,4.68086021402791,31.5668166943448
"result.69",2.0208043341781,5.06303953039752,39.4031961270606
"result.70",2.04585932466124,4.02328485144631,32.1775942003158
