"","V1","V2","V3","V4"
"result.1",3.97127754503894,4.15074319198926,46.055214645813,28.6489663244484
"result.2",4.07618919190098,4.82345737797186,59.1588951671388,43.5945440930594
"result.3",4.33453648602141,3.87764392048465,55.4836039192915,32.7287588213163
"result.4",3.91660240712537,3.35486038061265,45.8745189592053,26.3423869080964
"result.5",4.39916043530867,5.24679017323237,57.6529144100927,34.1014701067097
"result.6",4.88308660255794,4.43681341065122,49.9600072879161,34.1345989282909
"result.7",4.13845184377576,3.72261402665983,37.9398540285836,24.0778547090836
"result.8",3.71139171363538,4.30534957307182,46.7720415057746,27.1735194570939
"result.9",4.68430975302382,4.33248340235641,56.0923319305322,38.1310003491203
"result.10",4.09713628669207,4.75668819136568,66.1205702008482,48.5330188747604
"result.11",3.95051723494383,3.67333806477357,43.5336127492302,27.2307999452886
"result.12",4.10964784655964,3.71091952446817,43.9883706453285,28.1847716354248
"result.13",4.36130654863798,4.32598877846044,56.2517935073873,36.323558090269
"result.14",3.76405952745138,5.15332653688106,50.3411518782029,32.3753916457493
"result.15",3.82902683065144,4.53261928494412,42.0000577220072,30.4803905042438
"result.16",4.08058764818229,4.71591396080213,50.6050093282283,33.5774822188884
"result.17",4.44271377975994,4.30627425124432,49.8636187148519,39.1727664226166
"result.18",3.48122128633517,3.69166891627175,51.4547604297464,34.9549359445266
"result.19",5.35952724097123,4.82624524391419,61.4687791881563,44.7802102524536
"result.20",3.58690647550547,4.05168984187779,41.837314748161,27.3128794545005
"result.21",3.82616961215782,3.50792565988439,43.410373604713,29.1284368662516
"result.22",4.7273119286801,4.850939511861,59.3762780041149,39.6582760407045
"result.23",4.19916039480917,4.26572810965655,57.3648261132034,41.0039642965376
"result.24",4.85485674696795,4.20370173439749,54.0005015282432,33.5897188708208
"result.25",4.38751922413391,3.98978762427502,47.1401330830177,34.5120941178749
"result.26",4.47858191481026,4.47449800626562,53.0112762492665,35.411748795841
"result.27",4.74895284494054,4.34404869905232,52.8348296113068,38.7873479287814
"result.28",4.13489589301941,3.97699745140492,46.6925586031899,30.7598520763494
"result.29",3.48477217052052,3.94341306201212,49.4906483941919,30.9729280008824
"result.30",6.59958730886978,5.18849517189841,78.8989509600821,51.8280501073814
"result.31",4.27689002761551,4.02999799878557,42.3154427818785,25.6914436936808
"result.32",4.05621084727439,3.91600180685747,48.1593510615688,29.9667534465575
"result.33",4.25551478026342,4.14696642601208,44.3596178329082,29.0393715207757
"result.34",4.87446420923356,3.83932750749266,52.389532122534,33.3114239731381
"result.35",4.81226435915654,5.03567502271571,71.1250448168884,45.9865007506688
"result.36",4.15793336951447,3.47799333897991,43.5725583292399,27.511834986853
"result.37",4.00917972002373,4.1776188009149,45.538765656003,32.4022925873467
"result.38",4.8917444536515,3.71211150809868,44.4046440309463,27.4023316629792
"result.39",4.61841172392978,5.1664042197026,63.903266524134,45.6338146216419
"result.40",4.47060204852448,4.69187468304342,52.0552174588756,34.5135091510385
"result.41",4.90396206541055,4.86486760467457,53.6255849941516,34.2560188874251
"result.42",3.94366387381423,4.19797722606779,47.9173079585831,32.3862664635234
"result.43",3.95993645789497,4.34303188570849,44.790530905362,29.2710846315226
"result.44",4.32262658355022,3.67125835188966,48.1228967719907,34.3307455891222
"result.45",3.63258084033161,3.78527118138072,49.3140052444415,35.0921823362883
"result.46",5.10821068523128,4.83394873134446,77.0204631961325,46.6741670385067
"result.47",3.76565475923263,4.3560459538582,47.2852929807821,27.8266729484473
"result.48",4.32102696746604,4.00804099298868,51.9524263694382,33.2061217826668
"result.49",5.13058741659954,4.47095173365391,57.7786210357179,36.7928335779838
"result.50",3.40464652478839,3.2760653623777,46.6352689384388,30.0720415350818
"result.51",4.0687828921975,4.24962689309762,59.4334556594711,37.5124028541509
"result.52",3.57391062211708,4.20450435758645,49.7840640803674,32.9240345944564
"result.53",4.10865871675336,4.07688269169849,50.5562023001507,33.7559938934614
"result.54",4.64172873786505,5.15999456443538,50.2085910324632,34.8932546121496
"result.55",4.11208644504478,4.35802302971378,54.7573339329637,35.4669655441104
"result.56",5.31833885344861,5.37015669234532,64.5551346233781,45.7126940924187
"result.57",3.78426848057275,3.41402472443209,46.4745526527986,33.9805540488728
"result.58",4.5011721668765,4.09322481449853,43.0583071221686,28.4146287439295
"result.59",4.12681003167141,4.41483765267479,52.4955828917009,34.4788429623482
"result.60",3.78512009551465,4.45038037142679,47.1113073893199,31.1552510337237
"result.61",4.5441827103124,4.7877882377128,54.9093994783418,39.8657875770831
"result.62",3.61923140592106,4.51173601937306,50.5118137544014,31.7757977741911
"result.63",4.47778222781417,4.31397513212711,58.329321523368,35.6766919984231
"result.64",4.05328999034924,4.96869853192696,48.9723175078719,29.5453966202641
"result.65",4.04643820852835,4.55129348332679,49.8680487616906,31.1109718835186
"result.66",4.41879180544543,4.24398861399729,55.5704237233422,29.5223809840803
"result.67",5.00064654016254,5.05292949890497,56.0827306901221,29.7395102948854
"result.68",4.02108891521776,4.34613269374531,49.8056297579782,32.2022109172316
"result.69",3.72373831336117,3.86924750539966,55.4515279423373,39.2643276423989
"result.70",4.35711489329872,3.94246533405606,48.4314665531315,32.451599472096
"result.71",3.70296209729471,5.49577978396277,49.9566798991465,34.3397734568561
"result.72",5.1725276172865,5.22163888612437,57.199852796076,35.1041371996489
"result.73",4.05917119761411,3.89946753289431,42.4491750254734,33.2546192826785
"result.74",4.51366768371783,4.18939997468084,46.4035659617276,29.9529401759328
"result.75",4.0671935013673,4.70099030400452,43.3490060903562,28.1019851214403
"result.76",4.09174264387817,4.11954005348239,49.7994321449375,32.8378655457729
"result.77",4.31322799360562,5.11017230843767,69.5452022559383,45.9122160161326
"result.78",3.83750262848082,4.42826870109311,50.3156453052955,32.4158414387042
"result.79",5.19613989969582,4.4388096895245,53.5038954901657,36.6148330565115
"result.80",5.22133973544287,5.05709567214153,61.1132231203853,41.841891437845
"result.81",3.43166552525863,4.92467032680788,60.8895289379339,35.9367435149837
