"","V1","V2","V3","V4"
"result.1",4.127367822577,4.11806166524914,31.0472818919876,30.5632645849624
"result.2",4.59417325770975,4.62595886669252,618.590658902606,619.387239753058
"result.3",4.37466701839905,4.40152686544039,38.8162851112102,40.3797357821463
"result.4",3.59546451907124,3.59438017272394,41.0384936852656,37.8988967730301
"result.5",4.38716392378341,4.3958849714336,94.2895498841862,93.2948733856418
"result.6",4.32799535629748,4.32475547123619,35.8181394936744,36.2891761981359
"result.7",3.90906599847612,3.87882590955078,28.320561117097,28.2433697405469
"result.8",3.91443503750662,3.91489314854507,455.959852076681,457.482271275934
"result.9",4.38961482666605,4.3744766053769,41.6132138813308,42.3102579946096
"result.10",4.74284291046291,4.7395778004004,62.3652619794134,62.8746905393894
"result.11",3.95220141396996,3.96477015256496,30.3594533716434,29.8423664604921
"result.12",4.08465014036462,4.09276293820063,30.4788706717746,30.917800003026
"result.13",4.46201650115719,4.43963287565584,44.4708431560489,45.339860331049
"result.14",4.6403462364005,4.65883165277955,192.578324895448,192.448883039088
"result.15",4.03913120856837,4.04270480480325,48.7704948818977,48.671746466623
"result.16",3.96385405225883,3.98294771349015,34.873400028437,34.663232757735
"result.17",4.42432799397625,4.42235591937422,108.952066793206,105.97500938815
"result.18",4.40245890708556,4.39247353804631,36.7961602044513,36.3117873596334
"result.19",4.78967298542994,4.79059535363626,46.9765578740471,47.6849313299573
"result.20",3.92767455721174,3.94234761900656,30.0688982000925,30.1982134625477
"result.21",4.0012386106744,4.00496521095268,33.2496514503212,33.7243346554109
"result.22",4.78121239876744,4.7708773395779,57.2460189549178,51.7301127059436
"result.23",4.64900638442563,4.65251171528746,65.333649301383,67.0997224587082
"result.24",4.56696266928365,4.56754293696483,33.8515747107527,34.6606375103268
"result.25",4.31454237942398,4.31384672757441,42.8660125231312,43.2284679826156
"result.26",4.35802377586157,4.36309785890912,86.1859530969031,85.8824153316352
"result.27",4.42034948773101,4.39598100131203,43.7466917742886,44.9242870889848
"result.28",4.20456397685907,4.19967170176562,84.7181655838622,84.2961389917206
"result.29",4.32695210716911,4.36559858160513,33.0896624273193,32.7732672848039
"result.30",5.16854312848396,5.16332420799844,53.4711423910489,52.3023237977259
"result.31",3.9155435581729,3.92102337377696,32.7559855234002,32.8193329218247
"result.32",4.27986858571788,4.26483207958704,37.2235543805356,37.9235315919334
"result.33",4.10635363905353,4.10552652773629,31.3361511097549,31.8802193740381
"result.34",4.55956599305684,4.56002748702457,40.7224731141115,41.2107405151597
"result.35",5.09899784549785,5.11068980415297,50.4184550683539,51.209144455377
"result.36",4.07210173432191,4.076664609027,30.1241543945933,30.6859610068924
"result.37",4.33907924112768,4.34110276117674,35.2865367542212,35.3077068190835
"result.38",3.95494947988089,3.94336900769536,29.7204586667743,30.0273887607758
