"","V1","V2","V3"
"result.1",4.10573822918201,4.34680114238309,31.0163138539897
"result.2",4.62459357766012,5.26323186237271,619.406470104073
"result.3",4.39187450604669,4.38751195236519,39.804267777135
"result.4",3.60460265173056,3.29495541963498,38.2400139709602
"result.5",4.39667315133858,4.40839008246912,94.3329303925981
"result.6",4.35468742013823,3.72228590529473,35.5039931948955
"result.7",3.90010681445247,3.55843374754911,27.5648854857535
"result.8",3.91050337342718,4.32755524531234,455.166792194849
"result.9",4.36962738251013,4.11026066036793,41.493129894139
"result.10",4.74504364358772,5.36354307869923,61.9176520999658
"result.11",3.94757379478709,3.91183373718907,29.7738320792911
"result.12",4.07070726220179,4.10094024906632,31.23372668775
"result.13",4.48914178171752,4.62263386501994,44.9476050286934
"result.14",4.66017317049759,5.13892899072934,192.679650161943
"result.15",4.03970397205369,4.16449471468256,48.7768048972317
"result.16",3.9737022429625,3.92995034788068,35.8181054605635
"result.17",4.46013111247691,4.36600289521372,107.475835798535
"result.18",4.3907600211448,5.14924669609432,36.3175727402456
"result.19",4.80265852423199,4.16837713171406,46.3493092337366
"result.20",3.93352901667527,4.29806186688352,30.1622150259059
"result.21",4.00519256081374,4.14175946919775,34.4129352142222
"result.22",4.76890813206171,4.80733680946824,51.0386212420095
"result.23",4.64328012098651,5.11270370267432,65.6902973690639
"result.24",4.57618231796116,4.31876103715134,34.5042758068967
"result.25",4.32092108533654,4.26916667494656,42.9227325639085
"result.26",4.36072039968958,4.47155964160561,86.8285504623871
"result.27",4.38825381039753,4.03433660747037,45.2284009700389
"result.28",4.19929368796003,4.36208477623593,83.4535358839948
"result.29",4.35088917714451,5.23340358178647,33.5992150004286
"result.30",5.14731793777365,3.68824014039215,53.9799079495038
"result.31",3.92311873514335,3.61184184892894,32.4627200421037
"result.32",4.27164506661614,4.56267227901943,37.3157245866081
"result.33",4.09716684559548,3.9266849291299,31.8192987245664
"result.34",4.57252120896314,4.25268849600913,40.7531500803325
"result.35",5.13037187995019,5.4865505570157,50.6925009500074
"result.36",4.06050081107057,4.0061331062718,30.0344837361
"result.37",4.33239955659728,4.65003701252026,35.4205599297035
"result.38",3.954840759616,3.05646032034547,30.2309346029656
"result.39",4.94022311255163,5.25510902673064,49.9369137295776
"result.40",4.35686479513432,4.20120850301206,37.0974319540417
"result.41",4.25943886838755,3.77536222108942,38.1965474286978
"result.42",4.26580808054941,4.53957324759166,34.6410380739575
"result.43",4.02142239846202,4.04113460376589,30.6633791235184
"result.44",4.36020544235276,4.42306277822908,41.6209203762368
"result.45",4.46376332341778,4.88693360765926,140.600127254428
"result.46",4.97936096089205,4.9916116179168,60.1758686538727
"result.47",4.21465258007054,4.58387224074745,39.7112820487966
"result.48",4.41150772510162,4.60429369458844,36.0220423255343
"result.49",4.42704409482504,3.75635936828136,316.354457941697
"result.50",3.85452409736973,4.28988872632807,80.382671799093
"result.51",4.42658460680817,4.98982662942257,159.870267992095
"result.52",4.31077192781896,4.99126346717365,50.9075386303331
"result.53",4.43962735726154,4.76748167383372,35.0960663029484
"result.54",4.17718075905746,3.75335567988271,35.9328924464382
"result.55",4.26340598762676,4.50352486759745,40.4693096304472
"result.56",4.90076595428665,4.44329908608118,59.7948788744515
"result.57",4.30474474488816,4.81978885339248,37.5240563851781
"result.58",4.30957310989339,4.11546107016224,29.8236313039422
"result.59",4.67275427322415,4.95137202741718,234.688807120916
"result.60",4.22148227222357,4.54040482518346,33.9942736869597
"result.61",4.67435569887715,4.76507317381486,42.2150576080869
"result.62",4.53110867878972,5.04734945174637,247.047638335801
"result.63",4.52880810293511,4.59298673594733,42.5717235599985
"result.64",4.10960501223282,4.29072569308268,35.9346765102389
"result.65",4.28492970802451,4.44939907563949,38.1522098180232
"result.66",4.47901065004829,4.50442737373931,34.8588993263696
"result.67",4.17093132720216,3.47045868452798,32.7698163518673
"result.68",4.25479932845873,4.68086021402791,48.7987800028903
"result.69",4.38775435325195,5.06303953039752,46.7773144919047
"result.70",4.17158744803174,4.02328485144631,37.4555791138151
"result.71",4.35942673489966,4.94816785350863,49.7371938074187
"result.72",4.68411751573431,4.16380181921964,38.7498537293765
"result.73",4.22500968736155,4.3392542386838,36.4261792757885
"result.74",4.27346296273444,4.1176243192944,34.9302050230247
"result.75",4.06054544851242,4.05836906633362,30.1507512245627
"result.76",4.38705667073006,4.73005224023879,35.8408599509038
"result.77",4.80860982690796,5.38812176247388,104.609459113896
"result.78",4.26218006625658,4.66602882804173,243.534857517076
"result.79",4.4356726746847,3.56236117724934,122.248098758842
"result.80",5.05754333821044,4.52799867919618,188.67086375889
"result.81",4.56836386838399,5.71801785279885,53.9308350894553
"result.82",4.32112351697251,4.43293235353283,80.6999362581749
"result.83",4.49189082366105,4.04714410999361,38.9993169572345
"result.84",3.8323192961703,3.98542904608315,31.4154015763038
"result.85",4.36425585086295,3.92247607266654,38.2001592169631
"result.86",4.53929772257953,4.37191959835221,35.8336570845302
"result.87",4.39407945442072,4.5114526391345,38.0074695193034
"result.88",4.44976553341333,4.39320946305146,68.1549855349035
"result.89",3.86468210904004,3.91243848617908,43.4157466482953
"result.90",4.11571740312757,4.18083917162931,31.504663137029
"result.91",4.10872270414997,3.59046487662792,156.713240516358
"result.92",4.26552164343873,4.75275835643575,39.9859105395661
"result.93",4.24764322663755,3.79847382853911,43.8681421684121
"result.94",4.6054538903031,4.93236804270566,75.1218642899472
"result.95",4.38492090492267,3.89911762627514,36.8337809949283
"result.96",4.32899877838775,4.63329026953817,37.6565910456555
"result.97",3.97122673830182,3.56699236296115,28.3722552186076
"result.98",6.02820780064317,3.84666496477668,5378.82676185239
"result.99",4.3616529873908,4.45101696571847,1069.13743557164
"result.100",4.94040183382608,5.47108365323533,224.377273852511
"result.101",3.80737624232072,3.82651147029766,28.7786083791768
"result.102",4.08338342583504,3.72282196718068,35.7637491992053
"result.103",4.5083735099814,4.04070700599321,100.516603271836
"result.104",4.63870980342241,4.78077499441509,38.2470348180936
"result.105",4.62309018467716,5.29360119602407,64.1022820272473
"result.106",4.16421391069521,4.07402775087723,42.2823024540307
"result.107",4.56063696483429,4.18283446177412,38.9032014438383
"result.108",4.17697677518168,3.60666047062499,92.6523553913675
"result.109",4.41962440445062,4.26821204220679,44.4048883497221
"result.110",4.03852669279281,4.15788626349573,38.8735779711636
"result.111",4.44869056091955,4.73102339149889,223.134734488308
"result.112",4.45017039586196,4.4021088224122,44.0298588746254
"result.113",4.17927109439922,3.73383090069133,48.7612669733597
"result.114",4.55796848479759,4.68410244521911,56.588095865746
"result.115",4.34748549733383,4.80162643844327,83.9169663915998
"result.116",2.98659329547725,3.5738375902765,46590.0278606681
"result.117",4.211817123025,4.08064227822827,35.2115414754018
"result.118",3.91204568012538,4.17451103310712,37.1027976219809
"result.119",4.07533514510324,4.09092578437111,187.357149401475
"result.120",4.37048387529221,4.66806846052249,45.2463383878086
"result.121",4.49021254126098,3.73112581185682,40.6942707516865
"result.122",4.10867183288081,4.33289778831591,38.89766768212
"result.123",4.19520776902153,4.01082896491504,50.955240781974
"result.124",4.03978871299011,4.1129995322814,33.1550085137166
"result.125",4.6238077949299,5.04725674516434,43.6305502350961
"result.126",4.89334336739724,5.08794823127639,50.7157070452616
"result.127",4.46691222304795,5.13654007603973,33.2626851892282
"result.128",4.20471618531627,4.74301426389321,418.836545436066
"result.129",3.76984655105789,3.8337864437542,53.0669618874857
"result.130",4.26188881376769,4.47577337266858,34.2077352777809
"result.131",4.25833053601308,4.08556173996783,37.3096666283167
"result.132",4.57639476888971,4.14278031360403,47.8004477273231
"result.133",4.17309474099275,4.50828404633111,47.3281672029941
"result.134",4.21079548061536,4.14097530372693,36.357711663085
"result.135",4.10093425321434,3.43916499863806,39.1542154586996
"result.136",4.30250802457695,4.0236463809855,69.5375394034098
"result.137",4.52759216398496,4.04629599029308,42.036427533627
"result.138",4.24107576253565,4.2440067151114,102.789955281802
"result.139",4.56235586776135,5.37282660246195,36.9995870723013
"result.140",4.55978814810024,3.93828756093765,42.04383948436
"result.141",4.40170315216884,3.81201877096848,35.6752691189862
"result.142",4.21559685979071,3.87627007610188,37.5353034946382
"result.143",4.21573022568482,4.66694112719684,391.95185124886
"result.144",4.50524586573038,4.46461738545021,44.5915237879239
"result.145",3.95871874645987,3.63476974364311,41.9491650913023
"result.146",4.66466624769943,4.70621820215647,66.3122276020596
"result.147",3.78191587374757,4.02461700639002,1621.82991100941
"result.148",4.24482469321524,4.04201725304512,46.2429259836941
"result.149",4.67829653846044,4.48190566753156,37.1614808725278
"result.150",4.32004058856814,4.34382944295417,51.8202395364244
"result.151",4.12217221752964,4.32810699081361,44.3314743699124
"result.152",3.92043266205154,4.11278434738131,29.5514641834255
"result.153",4.53999489129923,3.9388475353062,48.1825211404889
"result.154",4.29525415930892,5.29532398917338,43.0037460845715
"result.155",4.40952601959462,4.40450562948268,42.1813854608555
"result.156",4.38266910490999,4.59539758366718,34.0061848738838
"result.157",4.02664999176445,4.4814769141389,103.566221906334
"result.158",4.60588833752315,5.17318651870395,44.4289536137097
"result.159",3.78489682043987,4.05713521845764,31.818155051587
"result.160",3.93932587027723,3.80974015297986,42.9434241233507
